                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.2171,                0.84482,                 1.1378,                0.83089,                0.79471,                0.87008,                0.55536,                 1.2691,                0.92331,                 1.3224,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.1888,                0.84905,                 1.1263,                0.84713,                0.78694,                0.87479,                0.56548,                 1.2267,                0.85936,                 1.2976,               0.004951,               0.004951,               0.004951
                    104,                 1.1808,                 0.8542,                 1.1506,                0.83621,                0.79938,                0.87169,                 0.5712,                 1.2085,                0.82077,                   1.28,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.1398,                 0.8112,                   1.12,                0.85707,                0.79269,                0.87887,                0.56275,                 1.2301,                0.81904,                 1.2805,               0.004852,               0.004852,               0.004852
                    106,                 1.1912,                0.83062,                 1.1444,                0.86606,                 0.7743,                0.87156,                0.55089,                 1.2685,                0.82214,                 1.3073,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.2034,                0.84119,                 1.1345,                0.85588,                0.81275,                 0.8795,                0.57388,                 1.2039,                0.81077,                 1.2789,               0.004753,               0.004753,               0.004753
                    108,                 1.1708,                0.84718,                 1.1432,                0.84128,                0.77916,                0.86335,                0.55235,                 1.2213,                0.83642,                 1.2853,              0.0047035,              0.0047035,              0.0047035
                    109,                  1.146,                0.79031,                 1.1178,                0.85804,                0.78072,                0.86392,                0.56255,                 1.2428,                0.80612,                 1.3029,               0.004654,               0.004654,               0.004654
                    110,                 1.1485,                0.79037,                 1.1136,                0.87297,                0.81229,                0.88066,                0.57598,                 1.2331,                 0.7932,                 1.3143,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.1364,                0.78015,                 1.1062,                0.86344,                0.80871,                0.87107,                0.54727,                 1.2578,                0.85351,                 1.3218,               0.004555,               0.004555,               0.004555
                    112,                 1.1828,                0.82106,                 1.1621,                 0.8846,                0.77449,                0.87105,                0.54119,                 1.2901,                0.87851,                 1.3487,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.1752,                0.80259,                 1.1342,                0.86758,                0.78461,                0.86588,                0.56088,                  1.246,                0.82693,                 1.3171,               0.004456,               0.004456,               0.004456
                    114,                 1.1494,                0.80257,                 1.1253,                 0.8441,                0.80404,                0.87543,                0.56324,                 1.2454,                0.84226,                 1.3045,              0.0044065,              0.0044065,              0.0044065
